post_id,title,category,score,num_comments,author,collected_at
47718470,Code is run more than read (2023),technology,71,27,facundo_olano,2026-04-10 21:43:20
47716490,FBI used iPhone notification data to retrieve deleted Signal messages,technology,342,169,01-_-,2026-04-10 21:43:27
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,531,210,speckx,2026-04-10 21:43:29
47719486,France to ditch Windows for Linux to reduce reliance on US tech,technology,101,36,Teever,2026-04-10 21:43:33
47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,technology,85,19,manzt,2026-04-10 21:43:35
47708818,Native Instant Space Switching on macOS,science,589,288,PaulHoule,2026-04-10 21:43:38
47712656,We've raised $17M to build what comes after Git,technology,249,540,ellieh,2026-04-10 21:43:40
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,technology,29,13,fanf2,2026-04-10 21:43:40
47718114,US summons bank bosses over cyber risks from Anthropic's latest AI model,technology,44,20,ascold,2026-04-10 21:43:44
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,26,5,breve,2026-04-10 21:43:45
47717587,OpenAI backs Illinois bill that would limit when AI labs can be held liable,technology,358,255,smurda,2026-04-10 21:43:46
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,52,27,babawere,2026-04-10 21:43:48
47709158,Charcuterie – Visual similarity Unicode explorer,technology,283,66,rickcarlino,2026-04-10 21:43:55
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,23,5,qvac,2026-04-10 21:43:58
47719268,Born Private: Reserve your child's first email address with Proton,technology,10,5,teekert,2026-04-10 21:44:04
47707632,"Instant 1.0, a backend for AI-coded apps",technology,190,102,stopachka,2026-04-10 21:44:06
47706141,Research-Driven Agents: When an agent reads before it codes,technology,199,52,hopechong,2026-04-10 21:44:07
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,18,0,JumpCrisscross,2026-04-10 21:44:09
47674950,An AI robot in my home,technology,61,27,kukanani,2026-04-10 21:44:10
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",technology,118,27,vermilingua,2026-04-10 21:44:16
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,145,22,juretriglav,2026-04-10 21:44:20
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,160,146,randerson_112,2026-04-10 21:44:21
47665890,War on Raze,worldnews,25,15,tosh,2026-04-10 21:44:28
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,26,4,russellharper,2026-04-10 21:44:29
47687273,Git commands I run before reading any code,technology,2260,486,grepsedawk,2026-04-10 21:44:33
